no_diacritics,with_diacritics
Phuong My Chi duoc Quang Le mua cho micro 200 trieu.,Phương Mỹ Chi được Quang Lê mua cho micro 200 triệu.
Khong thieu nguon de bao lanh tin dung.,Không thiếu nguồn để bảo lãnh tín dụng.
Ga ap chao sot xi dau cay don gian ma ngon.,Gà áp chảo sốt xì dầu cay đơn giản mà ngon.
Hau qua kho luong vi nang mui S-line khong dung cach..,Hậu quả khó lường vì nâng mũi S-line không đúng cách..
Quoc hoi Pa-le-xtin nhom hop lan dau trong 20 nam.,Quốc hội Pa-le-xtin nhóm họp lần đầu trong 20 năm.
La thu cua Bac Ho gui cac ban Chau Phi.,Lá thư của Bác Hồ gửi các bạn Châu Phi.
Mot Sai gon that khac biet qua hieu ung Time Lapse.,Một Sài gòn thật khác biệt qua hiệu ứng Time Lapse.
"Khi do toi cui xuong nhin con trai cua minh va noi: 'Cuoc doi me con minh se thay doi tu day'', co nho lai.","Khi đó tôi cúi xuống nhìn con trai của mình và nói: 'Cuộc đời mẹ con mình sẽ thay đổi từ đây'', cô nhớ lại."
Hoan thanh truc vot sa lan bi chim o song Nha Be.,Hoàn thành trục vớt sà lan bị chìm ở sông Nhà Bè.
Chuyen vui ve tu vi van menh tuoi Mui nam 2015.,Chuyện vui về tử vi vận mệnh tuổi Mùi năm 2015.
Scrambler cuc chat boi ban tay mot bong hong.,Scrambler cực chất bởi bàn tay một bóng hồng.
Bai 2: Nen can nhac viec ra doi tap doan co khi?.,Bài 2: Nên cân nhắc việc ra đời tập đoàn cơ khí?.
"Nam 2019, Hoa hau Sieu quoc gia Viet Nam Nguyen Thi Ngoc Chau vao Top 10 chung cuoc, dat danh hieu Hoa hau Sieu quoc gia Chau A.","Năm 2019, Hoa hậu Siêu quốc gia Việt Nam Nguyễn Thị Ngọc Châu vào Top 10 chung cuộc, đạt danh hiệu Hoa hậu Siêu quốc gia Châu Á."
Mot nguoi tam than bi dan phong danh nhap vien.,Một người tâm thần bị dân phòng đánh nhập viện.
Thanh tra tram can Dau Giay.,Thanh tra trạm cân Dầu Giây.
"Hien nay, thuong hieu da dat muc do nhan dien tuong doi cao tren thi truong.","Hiện nay, thương hiệu đã đạt mức độ nhận diện tương đối cao trên thị trường."
Tam thiep Noel 11.000km co '1-0-2' cua doi vo chong tre.,Tấm thiệp Noel 11.000km có '1-0-2' của đôi vợ chồng trẻ.
Man moi Sa Huynh.,Mặn mòi Sa Huỳnh.
BTC Hoa hau Bien phai giai trinh ve nghi van mua ban giai.,BTC Hoa hậu Biển phải giải trình về nghi vấn mua bán giải.
"Xu ly nghiem hang gia, bao ve nguoi tieu dung.","Xử lý nghiêm hàng giả, bảo vệ người tiêu dùng."
Xac dinh tuyen duong mang ten Dai tuong Vo Nguyen Giap?.,Xác định tuyến đường mang tên Đại tướng Võ Nguyên Giáp?.
"Vi the, neu ho tro ve dia phuong hoat dong trong nganh nay thi van tao ra thu nhap on dinh.","Vì thế, nếu họ trở về địa phương hoạt động trong ngành này thì vẫn tạo ra thu nhập ổn định."
"Sau mot thoi gian, nam YouTuber kiem duoc 5.000 USD dau tien trong doi, roi 1 trieu USD.","Sau một thời gian, nam YouTuber kiếm được 5.000 USD đầu tiên trong đời, rồi 1 triệu USD."
Bo truong Pham Vu Luan tra loi chat van ve Ky thi quoc gia.,Bộ trưởng Phạm Vũ Luận trả lời chất vấn về Kỳ thi quốc gia.
Khong hop ve sinh.,Không hợp vệ sinh.
Tran Lap chia se tam thu truoc ngay len ban mo.,Trần Lập chia sẻ tâm thư trước ngày lên bàn mổ.
Xay dung kien truc Bo TT&TT; dien tu.,Xây dựng kiến trúc Bộ TT&TT; điện tử.
Nha van T mat tich ve Viet Nam.,Nhà văn T mất tích về Việt Nam.
"Tuong dau bung binh thuong, hoa ra dau de.","Tưởng đau bụng bình thường, hóa ra đau đẻ."
"Nhin chung, Hyundai Ioniq 5 co nhung net co dien duoc danh gia rat cao, tac gia cung cho rang nhin chiec xe tu ben suon se cam nhan duoc tron ven net dep cua chiec xe.","Nhìn chung, Hyundai Ioniq 5 có những nét cổ điển được đánh giá rất cao, tác giả cũng cho rằng nhìn chiếc xe từ bên sườn sẽ cảm nhận được trọn vẹn nét đẹp của chiếc xe."
"My dua hang loat may bay, tau chien den ban dao Trieu Tien truoc them Olympic.","Mỹ đưa hàng loạt máy bay, tàu chiến đến bán đảo Triều Tiên trước thềm Olympic."
Neu Viet Nam co ca PAC 3 lan S-400?.,Nếu Việt Nam có cả PAC 3 lẫn S-400?.
Cong dich vu cong quoc gia se hoat dong thu nghiem tu thang 6/2016.,Cổng dịch vụ công quốc gia sẽ hoạt động thử nghiệm từ tháng 6/2016.
2 cum tau san bay Hoa Ky den sat Bien Dong bao ve phan quyet cua PCA.,2 cụm tàu sân bay Hoa Kỳ đến sát Biển Đông bảo vệ phán quyết của PCA.
Trung-Nga tiep tuc doi dau tren dat My La tinh.,Trung-Nga tiếp tục đối đấu trên đất Mỹ La tinh.
Cassano: 'Patrik Schick xuat sac hon ca Paulo Dybala'.,Cassano: 'Patrik Schick xuất sắc hơn cả Paulo Dybala'.
Doanh nghiep duoc: Da tang chung lai.,Doanh nghiệp dược: Đà tăng chững lại.
1.,1.
"Guardiola: ""Toi den Premier League de khang dinh tai nang cua minh"".","Guardiola: ""Tôi đến Premier League để khẳng định tài năng của mình""."
Viet Nam Lao tang cuong hop tac ve bao tang.,Việt Nam Lào tăng cường hợp tác về bảo tàng.
Dao chinh mem o Pakistan?.,Đảo chính mềm ở Pakistan?.
Ve dep thien nhien Viet Nam trong tranh nhuom cua hoa si Toba Mika.,Vẻ đẹp thiên nhiên Việt Nam trong tranh nhuộm của hoạ sĩ Toba Mika.
Sao nam Viet 'manh may cung yeu' trong ngay cuoi vo.,Sao nam Việt 'mạnh mấy cũng yếu' trong ngày cưới vợ.
Vietnam Airlines cam ket quang ba du lich tinh Thua Thien Hue.,Vietnam Airlines cam kết quảng bá du lịch tỉnh Thừa Thiên Huế.
Cuu hau ve M.U se ve pho ta David Moyes.,Cựu hậu vệ M.U sẽ về phò tá David Moyes.
Gan cung can duoc tam mat moi ngay..,Gan cũng cần được tắm mát mỗi ngày..
"Tuy nhien, dien vien Pho trong lang thua nhan nhung nguoi quen biet qua cong viec thi co chi xem do la nhung moi quan he xa giao.","Tuy nhiên, diễn viên Phố trong làng thừa nhận những người quen biết qua công việc thì cô chỉ xem đó là những mối quan hệ xã giao."
"Khoi to, bat tam giam nguyen Pho phong Thi hanh an dan su TP HCM.","Khởi tố, bắt tạm giam nguyên Phó phòng Thi hành án dân sự TP HCM."
Me thieu nu bi thieu song khoc ngat khi nhin di anh cua con.,Mẹ thiếu nữ bị thiêu sống khóc ngất khi nhìn di ảnh của con.
Khat vong tre: Dem nay khai dien 'To quoc - bon mua thanh xuan'.,Khát vọng trẻ: Đêm nay khai diễn 'Tổ quốc - bốn mùa thanh xuân'.
Tim thay 200 tan bac trong xac tau dam tu The chien II.,Tìm thấy 200 tấn bạc trong xác tàu đắm từ Thế chiến II.
Jetstar Pacific ban 20.000 ve gia tu 16 nghin dong.,Jetstar Pacific bán 20.000 vé giá từ 16 nghìn đồng.
Tat ca nhung yeu to do da tac dong tich cuc len nganh cong nghiep loc hoa dau va BSR da nam bat va duoc huong loi cac yeu to tren.,Tất cả những yếu tố đó đã tác động tích cực lên ngành công nghiệp lọc hóa dầu và BSR đã nắm bắt và được hưởng lợi các yếu tố trên.
"Binh Dinh: Xe may bi cuon vao gam xe tai, mot thanh nien tu vong.","Bình Định: Xe máy bị cuốn vào gầm xe tải, một thanh niên tử vong."
Nga lan dau tien coi My la moi de doa ve an ninh quoc gia.,Nga lần đầu tiên coi Mỹ là mối đe dọa về an ninh quốc gia.
Tu vong vi roi tu do cao 20m.,Tử vong vì rơi từ độ cao 20m.
Cuc Thue tinh Phu Tho: Tap huan chinh sach thue moi cho can bo thue.,Cục Thuế tỉnh Phú Thọ: Tập huấn chính sách thuế mới cho cán bộ thuế.
Thai Lan: Xem xet bo lenh tinh trang khan cap tai mot so tinh mien Nam.,Thái Lan: Xem xét bỏ lệnh tình trạng khẩn cấp tại một số tỉnh miền Nam.
Ne tranh bao chi hoat dong hop phap cung can phai bi xu ly.,Né tránh báo chí hoạt động hợp pháp cũng cần phải bị xử lý.
"""Luc minh dang len thi co rat nhieu nguoi hoi xin nhan ve nuoi nhung minh chua dong y vi muon tim duoc chu nhan cua cac chu cho nay.","""Lúc mình đăng lên thì có rất nhiều người hỏi xin nhận về nuôi nhưng mình chưa đồng ý vì muốn tìm được chủ nhân của các chú chó này."
"Quan doi Syria giai trinh ve ""vu tham sat Tremseh"".","Quân đội Syria giải trình về ""vụ thảm sát Tremseh""."
"Ghi nhan nhung thanh tich do, trong thoi gian qua da co nhieu tap the, ca nhan duoc tang thuong Co thi dua, Bang khen, Giay khen trong phong trao toan dan bao ve an ninh To quoc cua cac cap lanh dao.","Ghi nhận những thành tích đó, trong thời gian qua đã có nhiều tập thể, cá nhân được tặng thưởng Cờ thi đua, Bằng khen, Giấy khen trong phong trào toàn dân bảo vệ an ninh Tổ quốc của các cấp lãnh đạo."
Wawrinka toa sang hon Federer.,Wawrinka tỏa sáng hơn Federer.
Chinh thuc lui thoi han thi hanh Bo luat Hinh su 2015.,Chính thức lùi thời hạn thi hành Bộ luật Hình sự 2015.
"Bai, anh: KHANH HUYEN","Bài, ảnh: KHÁNH HUYỀN"
Nguoi phu nu vuot ngan cay so lay chong bai liet.,Người phụ nữ vượt ngàn cây số lấy chồng bại liệt.
Hon trieu dong mot cap ve xem V.League.,Hơn triệu đồng một cặp vé xem V.League.
"Thi sinh bi tai nan, om dot xuat duoc lui buoi thi.","Thí sinh bị tai nạn, ốm đột xuất được lùi buổi thi."
"Pakistan: danh bom lieu chet, 6 nguoi thiet mang.","Pakistan: đánh bom liều chết, 6 người thiệt mạng."
"Ve kich thuoc, Hyundai Stargazer dai 4.460mm, rong 1.780mm, va cao 1.695mm, voi chieu dai co so 2.780mm.","Về kích thước, Hyundai Stargazer dài 4.460mm, rộng 1.780mm, và cao 1.695mm, với chiều dài cơ sở 2.780mm."
"""Ngoi mo"" dac biet ay duoc dat tren mot noc nha o thanh pho Gyueongju - ben canh nha tho nho nhat ma loai nguoi tung biet den.","""Ngôi mộ"" đặc biệt ấy được đặt trên một nóc nhà ở thành phố Gyueongju - bên cạnh nhà thờ nhỏ nhất mà loài người từng biết đến."
Phu nu mong to se khoe hon.,Phụ nữ mông to sẽ khỏe hơn.
Ha Noi bao dong cap 1 ve cung cap dien chong ngap.,Hà Nội báo động cấp 1 về cung cấp điện chống ngập.
"Ong Raikovych cho hay, cac doi cuu ho da co mat tai nhung khu vuc bi anh huong va mot quan nho o thu phu Kropyvnytskyi cua vung nay bi mat dien do cac vu tan cong tren.","Ông Raikovych cho hay, các đội cứu hộ đã có mặt tại những khu vực bị ảnh hưởng và một quận nhỏ ở thủ phủ Kropyvnytskyi của vùng này bị mất điện do các vụ tấn công trên."
"""Hien nhan vien an ninh nay da bi tam dinh chi, phai roi vi tri an ninh soi chieu de cho xac minh, lam ro vu viec"", lanh dao Cang vu Hang khong mien Nam noi.","""Hiện nhân viên an ninh này đã bị tạm đình chỉ, phải rời vị trí an ninh soi chiếu để chờ xác minh, làm rõ vụ việc"", lãnh đạo Cảng vụ Hàng không miền Nam nói."
Thu choi sinh vat canh tan pha san ho.,Thú chơi sinh vật cảnh tàn phá san hô.
HLV Wenger nga dau dieng o nha ga.,HLV Wenger ngã đau điếng ở nhà ga.
Bi cuc ngan hang nhom 4.,Bĩ cực ngân hàng nhóm 4.
"Trot trao ""doi con gai"" cho sep.","Trót trao ""đời con gái"" cho sếp."
"Ve doi tuong tiem, lieu luong tiem, loai vaccine tiem cho cac doi tuong, Bo Y te da co huong dan moi nhat tai van ban so 3309 ban hanh ngay 23.6.","Về đối tượng tiêm, liều lượng tiêm, loại vaccine tiêm cho các đối tượng, Bộ Y tế đã có hướng dẫn mới nhất tại văn bản số 3309 ban hành ngày 23.6."
"Ha Noi ra ""Toi hau thu"" cho 10 khu do thi moi.","Hà Nội ra ""Tối hậu thư"" cho 10 khu đô thị mới."
Cai ket xung dang cho ga dan ong boi bac.,Cái kết xứng đáng cho gã đàn ông bội bạc.
Kiem tra giao dich cua 4 ma CK tang tran 5 phien lien tuc.,Kiểm tra giao dịch của 4 mã CK tăng trần 5 phiên liên tục.
"PSG muon tro lai la cau lac bo dang so tai Phap, dieu chung toi khong lam duoc trong hai nam qua"". Cavani da dat moc 200 ban sau 301 tran nhung Mbappe duoc ky vong se som vuot qua ky luc do.","PSG muốn trở lại là câu lạc bộ đáng sợ tại Pháp, điều chúng tôi không làm được trong hai năm qua"". Cavani đã đạt mốc 200 bàn sau 301 trận nhưng Mbappe được kỳ vọng sẽ sớm vượt qua kỷ lục đó."
"Ca tam la ca nuoc ngot lon nhat the gioi, nhung chung kha lanh vi khong gay hai cho dong loai Theo tim hieu, ca tam Kaluga co kha nang sinh san trong nhieu moi truong nuoc, gom ca nuoc ngot, lo, va vung bien man.","Cá tầm là cá nước ngọt lớn nhất thế giới, nhưng chúng khá lành vì không gây hại cho đồng loại Theo tìm hiểu, cá tầm Kaluga có khả năng sinh sản trong nhiều môi trường nước, gồm cả nước ngọt, lợ, và vùng biển mặn."
"Mot nghien cuu moi day cua Dai hoc RMIT (Uc) cho thay, cac dong xe o to hien dai khong chi than thien hon voi moi truong ma cũng chu trong nhièu den su an toan.","Một nghiên cứu mới đây của Đại học RMIT (Úc) cho thấy, các dòng xe ô tô hiện đại không chỉ thân thiện hơn với môi trường mà cũng chú trọng nhiều đến sự an toàn."
Thuc trang can ho du lich condotel Nha Trang: Qua nhieu bat cap!.,Thực trạng căn hộ du lich condotel Nha Trang: Quá nhiều bất cập!.
McCartney mang vo cu qua nhac.,McCartney mắng vợ cũ qua nhạc.
Lam gi khi ban gai muon giu qua cua nguoi cu?.,Làm gì khi bạn gái muốn giữ quà của người cũ?.
Benh tu mieng ma ra.,Bệnh từ miệng mà ra.
De nghi xu ly nguoi dep thi chui cuoc thi Hoa hau Viet Nam toan cau.,Đề nghị xử lý người đẹp thi chui cuộc thi Hoa hậu Việt Nam toàn cầu.
"[DisplaySearch] iPhone to hon, iPad mini va MBA Retina se xuat hien tu cuoi 2013 den het 2014.","[DisplaySearch] iPhone to hơn, iPad mini và MBA Retina sẽ xuất hiện từ cuối 2013 đến hết 2014."
Clip may xuc xa hang chuc tan rac xuong suoi o Ha Giang.,Clip máy xúc xả hàng chục tấn rác xuống suối ở Hà Giang.
Adebayor doi mat voi an phat cua FA.,Adebayor đối mặt với án phạt của FA.
Lung tung mot vu cap giay do cho toc ho.,Lúng túng một vụ cấp giấy đỏ cho tộc họ.
"Nga, My ky thoa thuan hop tac trong linh vuc vu tru.","Nga, Mỹ ký thỏa thuận hợp tác trong lĩnh vực vũ trụ."
"Mo ban biet thu nghi duong Dai Lai gia tu 2,6 ty dong.","Mở bán biệt thự nghỉ dưỡng Đại Lải giá từ 2,6 tỷ đồng."
Ho Van Cuong chuyen truong len TPHCM.,Hồ Văn Cường chuyển trường lên TPHCM.
Tranh cai thue TNCN tu bat dong san.,Tranh cãi thuế TNCN từ bất động sản.
"Nhung nam thang song va lam viec voi nhac si Trinh Cong Son, ong Long tung de nghi ong Son viet ngan ve nhung nguoi phu nu co anh huong nhat toi nhac si.","Những năm tháng sống và làm việc với nhạc sĩ Trịnh Công Sơn, ông Long từng đề nghị ông Sơn viết ngắn về những người phụ nữ có ảnh hưởng nhất tới nhạc sĩ."
Hang chuc nghin nhan vien ngan hang Nhat mat viec vi cong nghe cao nhu the nao?.,Hàng chục nghìn nhân viên ngân hàng Nhật mất việc vì công nghệ cao như thế nào?.
Chuan bi cho cuoc trien lam xac uop lon nhat the gioi.,Chuẩn bị cho cuộc triển lãm xác ướp lớn nhất thế giới.
"Chieu 28.6, ong Nguyen Thanh Phong – Giam doc Bao tang tinh Khanh Hoa xac nhan, cac thanh vien trong Hoi dong ky luat Bao tang tinh da thong nhat muc hinh thuc ky luat khien trach doi voi ong Mai Ngoc Da - Truong phong nghien cuu suu tam Bao tang tinh Khanh Hoa.","Chiều 28.6, ông Nguyễn Thanh Phong – Giám đốc Bảo tàng tỉnh Khánh Hòa xác nhận, các thành viên trong Hội đồng kỷ luật Bảo tàng tỉnh đã thống nhất mức hình thức kỷ luật khiển trách đối với ông Mai Ngọc Đa - Trưởng phòng nghiên cứu sưu tầm Bảo tàng tỉnh Khánh Hòa."
Thong bao cac quyet dinh cua Bo Chinh tri ve cong tac can bo.,Thông báo các quyết định của Bộ Chính trị về công tác cán bộ.
Ninh Binh: Tet am tinh thuong.,Ninh Bình: Tết ấm tình thương.
O to dien nhap chui tran lan.,Ô tô điện nhập chui tràn lan.
"Vi du nhu nhieu nam qua khong con phong trao van nghe hoa phuong do cua cac em thieu nhi, van nghe quan chung cua luc luong cong nhan - vien chuc - lao dong, cac giai the thao, giai bong da tu ap den xa, huyen, den thanh pho.","Ví dụ như nhiều năm qua không còn phong trào văn nghệ hoa phượng đỏ của các em thiếu nhi, văn nghệ quần chúng của lực lượng công nhân - viên chức - lao động, các giải thể thao, giải bóng đá từ ấp đến xã, huyện, đến thành phố."
Nghe thuat nguy trang tai tinh cua sat thu bo rep.,Nghệ thuật ngụy trang tài tình của sát thủ bọ rệp.
"Ngan hang, chung khoan 'khat nhan luc truc tuyen.","Ngân hàng, chứng khoán 'khát nhân lực trực tuyến."
Giai vo dich bong ban toan quoc 2015: Cap My Trang-Dinh Duy vao chung ket.,Giải vô địch bóng bàn toàn quốc 2015: Cặp Mỹ Trang-Đình Duy vào chung kết.
Nhung Nice cung muon nhan duoc mot khoan tien mat trong vu nay.,Nhưng Nice cũng muốn nhận được một khoản tiền mặt trong vụ này.
"""Sot"" khau trang chong dich cum A (H1N1).","""Sốt"" khẩu trang chống dịch cúm A (H1N1)."
'Pep Guardiola la con cao gia'.,'Pep Guardiola là con cáo già'.
"Thay mat canh sat Bandung, toi gui loi chia buon den gia dinh hai ben"", ong Aswin noi.","Thay mặt cảnh sát Bandung, tôi gửi lời chia buồn đến gia đình hai bên"", ông Aswin nói."
Nhieu xe hop tai Ha Noi lien tiep bi vat banh xe.,Nhiều xế hộp tại Hà Nội liên tiếp bị vặt bánh xe.
Sap co smartphone trang bi 2 pin tu Gionee.,Sắp có smartphone trang bị 2 pin từ Gionee.
Doc chieu giup ban giai toa cang thang.,Độc chiêu giúp bạn giải tỏa căng thẳng.
Giam gia ve Vietnam Airlines cho chu the Techcombank.,Giảm giá vé Vietnam Airlines cho chủ thẻ Techcombank.
Lo danh sach mua sam toan sieu sao cua M.U.,Lộ danh sách mua sắm toàn siêu sao của M.U.
HTC One X so dang LG Optimus 4X HD.,HTC One X so dáng LG Optimus 4X HD.
Vn-Index mat diem manh.,Vn-Index mất điểm mạnh.
Bai tuong Rahul Gandhi bien mat bi an.,Bại tướng Rahul Gandhi biến mất bí ẩn.
"Tren cong truong, cong nhan chia thanh nhieu ca lam viec, bat dau tu 7h sang.","Trên công trường, công nhân chia thành nhiều ca làm việc, bắt đầu từ 7h sáng."
(SN 2007); Nguyen Ba T.,(SN 2007); Nguyễn Bá T.
Lich su thang tram cua ho ten lua huyen thoai Scud (ky 2).,Lịch sử thăng trầm của họ tên lửa huyền thoại Scud (kỳ 2).
TPHCM to chuc Ngay ngoi truong tieu hoc cua em.,TPHCM tổ chức Ngày ngôi trường tiểu học của em.
Van Mai Huong hao hung hat tren he pho Ha Noi.,Văn Mai Hương hào hứng hát trên hè phố Hà Nội.
"Dang anh DI BAO U23 Viet Nam, bo chong nhan tin: 'Con dau thay anh khac noi bat hon di'.","Đăng ảnh ĐI BÃO U23 Việt Nam, bố chồng nhắn tin: 'Con dâu thay ảnh khác nổi bật hơn đi'."
"Hu via hai bo con lieu mang ""chien dau"" ca sau.","Hú vía hai bố con liều mạng ""chiến đấu"" cá sấu."
Nguyen nhan bi mun o nguoi truong thanh..,Nguyên nhân bị mụn ở người trưởng thành..
"Anh tung tham gia san xuat, dan dung cac album cho nhung ngoi sao noi tieng cua Trung Quoc lan Han Quoc nhu Trieu Vy, Han Hong, Quang Luong, Bi Rain, BoA, DBSK, Super Junior, BTS,...Dac biet, Vuong Loi con la nha phe binh dien anh, am nhac tren nhieu bao, tap chi va lam giam khao trong cac chuong trinh truyen hinh thuc te tim kiem tai nang am nhac khi tuoi doi con rat tre.","Anh từng tham gia sản xuất, dàn dựng các album cho những ngôi sao nổi tiếng của Trung Quốc lẫn Hàn Quốc như Triệu Vy, Hàn Hồng, Quang Lượng, Bi Rain, BoA, DBSK, Super Junior, BTS,...Đặc biệt, Vương Lỗi còn là nhà phê bình điện ảnh, âm nhạc trên nhiều báo, tạp chí và làm giám khảo trong các chương trình truyền hình thực tế tìm kiếm tài năng âm nhạc khi tuổi đời còn rất trẻ."
Thach thuc voi ong chu moi Tesco.,Thách thức với ông chủ mới Tesco.
"Nhan luc nay, nguoi doc than hay tich cuc mo long, ban se co nhieu co hoi lam quen, tiep xuc voi doi tuong phu hop.","Nhân lúc này, người độc thân hãy tích cực mở lòng, bạn sẽ có nhiều cơ hội làm quen, tiếp xúc với đối tượng phù hợp."
Ha Noi se co duong mang ten nha giao Nguyen Lan.,Hà Nội sẽ có đường mang tên nhà giáo Nguyễn Lân.
Muc giam gia cua doanh nghiep van tai tuong doi phu hop.,Mức giảm giá của doanh nghiệp vận tải tương đối phù hợp.
Nguoi phu nu chet thuong tam khi di tham con gai.,Người phụ nữ chết thương tâm khi đi thăm con gái.
nam 2009-2010.,năm 2009-2010.
Canh voi rong quay bang Lumia 925.,Cảnh vòi rồng quay bằng Lumia 925.
Them nhung cai chet khong dang co.,Thêm những cái chết không đáng có.
"Thang 7/2013, Barca cong bo chieu mo thanh cong Neymar tu Santos voi gia 17,1 trieu euro.","Tháng 7/2013, Barca công bố chiêu mộ thành công Neymar từ Santos với giá 17,1 triệu euro."
"Nhung trong mot ngay ma Lewy van vo duyen, Dembele quyet dinh ""lam tat an ca"". Hai pha solo ghi ban da boc lo moi pham chat cua Dembele.","Nhưng trong một ngày mà Lewy vẫn vô duyên, Dembele quyết định ""làm tất ăn cả"". Hai pha solo ghi bàn đã bộc lộ mọi phẩm chất của Dembele."
"""Phai vay cho sao..."".","""Phải vậy chớ sao...""."
Nguoi giau Viet Nam tang nhanh thu 2 Dong Nam A.,Người giàu Việt Nam tăng nhanh thứ 2 Đông Nam Á.
Nhung dieu thu vi khi Obama cong du nuoc ngoai.,Những điều thú vị khi Obama công du nước ngoài.
Cai ket co hau cua chu cho sut moi.,Cái kết có hậu của chú chó sứt môi.
O to ham ho moi ra mat cua Mitsubishi gia chi 235 trieu co gi dac biet?.,Ô tô hầm hố mới ra mắt của Mitsubishi giá chỉ 235 triệu có gì đặc biệt?.
Nhung tieng keu thuong gui den toa soan.,Những tiếng kêu thương gửi đến tòa soạn.
"Khung hoang dia oc My, bai hoc cho Viet Nam.","Khủng hoảng địa ốc Mỹ, bài học cho Việt Nam."
BOT Phap Van Cau Gie: Buoc dau xac dinh viec thieu minh bach.,BOT Pháp Vân Cầu Giẽ: Bước đầu xác định việc thiếu minh bạch.
